date,symbol,direction,entry,sl,tp,exit_price,result,pnl_pips,pnl_pct,exit_time
2026-06-15,USD/CAD,LONG,1.39755,1.39675,1.39905,1.39675,SL_HIT,-8.0,-0.057,2026-06-15 08:01
2026-06-15,USDCAD,LONG,1.39747,1.39667,1.39897,1.39667,SL_HIT,-8.0,-0.057,2026-06-15 08:04
